distance_measure;neighbour_count;descriptor_1;descriptor_2;weight;bin_count;guessing_accuracy (%);time_needed (min);image_set
euklid;8;1d_histo;0;0;8;27.50;2.52;1
euklid;8;3d_histo;0;0;8;31.25;2.39;1
euklid;8;std;0;0;0;25.00;0.87;1
euklid;8;mean;0;0;0;18.75;0.15;1
euklid;8;sobel;0;0;0;17.50;3.06;1
euklid;8;hog,4,8;0;0;0;25.00;24.40;1
euklid;4;1d_histo;0;0;8;32.50;2.59;1
euklid;4;3d_histo;0;0;8;31.25;2.30;1
euklid;4;std;0;0;0;33.75;0.86;1
euklid;4;mean;0;0;0;20.00;0.15;1
euklid;4;sobel;0;0;0;20.00;3.05;1
euklid;4;hog,4,8;0;0;0;25.00;23.85;1
euklid;3;1d_histo;0;0;8;32.50;2.49;1
euklid;3;3d_histo;0;0;8;31.25;2.43;1
euklid;3;std;0;0;0;31.25;0.89;1
euklid;3;mean;0;0;0;20.00;0.16;1
euklid;3;sobel;0;0;0;21.25;3.14;1
euklid;3;hog,4,8;0;0;0;25.00;24.56;1
euklid;2;1d_histo;0;0;8;32.50;2.31;1
euklid;2;3d_histo;0;0;8;31.25;2.47;1
euklid;2;std;0;0;0;32.50;0.87;1
euklid;2;mean;0;0;0;20.00;0.15;1
euklid;2;sobel;0;0;0;22.50;3.18;1
euklid;2;hog,4,8;0;0;0;25.00;24.30;1
euklid;8;1d_histo;0;0;4;23.75;2.36;1
euklid;8;3d_histo;0;0;4;36.25;2.04;1
euklid;4;1d_histo;0;0;4;20.00;2.36;1
euklid;4;3d_histo;0;0;4;33.75;2.04;1
euklid;3;1d_histo;0;0;4;20.00;2.56;1
euklid;3;3d_histo;0;0;4;33.75;2.06;1
euklid;2;1d_histo;0;0;4;20.00;2.56;1
euklid;2;3d_histo;0;0;4;35.00;2.06;1
euklid;8;1d_histo;0;0;3;21.25;2.57;1
euklid;8;3d_histo;0;0;3;38.75;1.95;1
euklid;4;1d_histo;0;0;3;21.25;2.57;1
euklid;4;3d_histo;0;0;3;33.75;1.95;1
euklid;3;1d_histo;0;0;3;21.25;2.57;1
euklid;3;3d_histo;0;0;3;32.50;1.95;1
euklid;2;1d_histo;0;0;3;21.25;2.57;1
euklid;2;3d_histo;0;0;3;32.50;1.94;1
euklid;8;hog,4,6;0;0;0;25.00;37.34;1
euklid;4;hog,4,6;0;0;0;25.00;37.31;1
euklid;3;hog,4,6;0;0;0;25.00;37.23;1
euklid;2;hog,4,6;0;0;0;25.00;37.20;1
euklid;8;hog,4,4;0;0;0;25.00;75.20;1
euklid;4;hog,4,4;0;0;0;25.00;75.03;1
euklid;8;1d_histo;0;0;8;53.10;3.54;2
euklid;8;3d_histo;0;0;8;45.52;3.26;2
euklid;8;std;0;0;0;48.28;1.09;2
euklid;8;mean;0;0;0;47.59;0.19;2
euklid;8;sobel;0;0;0;22.76;3.58;2
euklid;8;hog,4,8;0;0;0;37.93;31.44;2
euklid;4;1d_histo;0;0;8;55.86;4.65;2
euklid;4;3d_histo;0;0;8;50.34;3.24;2
euklid;4;std;0;0;0;40.69;1.12;2
euklid;4;mean;0;0;0;37.24;0.19;2
euklid;4;sobel;0;0;0;22.07;3.45;2
euklid;4;hog,4,8;0;0;0;20.69;31.47;2
euklid;3;1d_histo;0;0;8;52.41;4.02;2
euklid;3;3d_histo;0;0;8;53.79;3.20;2
euklid;3;std;0;0;0;46.90;1.13;2
euklid;3;mean;0;0;0;36.55;0.19;2
euklid;3;sobel;0;0;0;22.76;3.47;2
euklid;3;hog,4,8;0;0;0;20.69;31.58;2
euklid;2;1d_histo;0;0;8;73.79;4.07;2
euklid;2;3d_histo;0;0;8;76.55;3.35;2
euklid;2;std;0;0;0;62.07;1.16;2
euklid;2;mean;0;0;0;65.52;0.19;2
euklid;2;sobel;0;0;0;24.83;3.57;2
